标题,价格,销量,店铺,地点,,,
现货Xiaomi/小米 小米9SE小米9se全面屏尊享布朗熊限量版新手机,"￥1,588.00",321人付款,友铭数码通讯,上海,,,
Apple/苹果 iPhone X (A1865) 全网通 iphonex 移动联通电信4G智能手机 苹果x#,"￥5,918.00",5人付款,中国电信官方旗舰店,北京,,,
现货分期免息Huawei/华为 Mate 10 全网通4G保时捷手机mate10 pro,"￥1,768.00",188人付款,深成数码商行,广东 深圳,,,
BlackBerry/黑莓 KEY2全键盘双卡三网黑梅安卓手机keyone2keytwo全新正品双卡全网通4G戒网学生手机官方旗舰,"￥3,269.00",44人付款,黑莓急吼吼专卖店,广东 深圳,,,
vivo X27pro全新正品手机vivox27pro手机 限量版x27pro vivox27plus手机vivox27幻彩版 vivox30手机官网 bbk,"￥3,998.00",59人付款,首佳誉数码专营店,广东 东莞,,,
学生手机超薄指纹学生价智能水滴屏正品doov朵唯D1全面屏4G全网通游戏微信双摄拍照备用超长待机老人老年机,￥599.00,221人付款,尚亿汇通数码专营店,广东 深圳,,,
nova4降价官方华为新全面屏Nova4高配版华nova4手机官网nove4降价,"￥1,507.24",157人付款,徐志明tb,浙江 杭州,,,
顺丰速发/直降600元/分期免息Huawei/华为 nova 3i全面屏手机官方旗舰店官网新款nova4e全新p30pro正品p20pro,"￥1,498.00",92人付款,创汇通达数码旗舰店,北京,,,
【6.1-6.2 最高直降700，到手价3999起】SAMSUNG/三星 Galaxy S9+ 全网通4G男女学生正品智能手机 防水防尘,"￥3,999.00",62人付款,苏宁易购官方旗舰店,江苏 南京,,,
【6.1低至1199】华为honor/荣耀 荣耀8X 全面屏智能全网通4G手机学生官网全新正品旗舰店畅玩,"￥1,199.00",182人付款,苏宁易购官方旗舰店,江苏 南京,,,
立省220元 vivo Z3X手机 新品vivoz3限量版 vivoz3x z3x手机vivox21 x9 vivoz3 z1 x23 x30 iqoo vivoz3手机,￥998.00,1362人付款,三际数码官方旗舰店,山东 济南,,,
【6+128G领券20?9起+送手环】Xiaomi/小米8手机八小米9星官方旗舰店骁龙845青春正品全面屏855官网降红米K20p,"￥2,089.00",414人付款,三际数码官方旗舰店,山东 济南,,,
7759起！3期免息/送购机礼 苹果xs max中移动 Apple/苹果 iPhone XS Max全网通官方旗舰正品max iPhone手机,"￥7,759.00",4人付款,中国移动官方旗舰店,浙江 杭州,,,
【到手价1099起】华为honor/荣耀 荣耀9i手机中移动官方旗舰店 华为8x 9i 10 play V20i手机新品,"￥1,099.00",69人付款,中国移动官方旗舰店,浙江 杭州,,,
【领券共减150/当天发+送荣耀耳机】华为honor/荣耀 畅玩8C全面屏手机官方旗舰店正品10青春8x降价9i现货20i,￥899.00,341人付款,能良数码官方旗舰店,上海,,,
128G4168元起【现货速发/保修2年送壳膜】12期分期Apple/苹果 iPhone 7 Plus 苹果7p iphone7p 全网通手机,"￥4,198.00",59人付款,能良数码官方旗舰店,上海,,,
128g直降300元分期免息/华为honor/荣耀 荣耀10GT手机11官方降价麒麟970旗舰店正品青春版v20 20i note20,"￥1,799.00",58人付款,和来达数码专营店,广东 深圳,,,
顺丰速发/直降600元/分期免息Huawei/华为 nova 3i全面屏手机官方旗舰店官网新款nova4e全新p30pro正品p20pro,"￥1,498.00",92人付款,创汇通达数码旗舰店,北京,,,
官方Xiaomi/小米 Redmi Note 7红米note7pro新手机6a小金刚 k20,￥978.00,2607人付款,heatlinda,广东 深圳,,,
4G全网通天语 T2A老人机超长待机正品老年手机大屏大字大声移动联通电信版天翼直板大按键功能小学生老人手机,￥69.00,1.0万+人付款,科音数码专营店,广东 深圳,,,
咨询优惠【6期免息/送手柄/蓝牙耳机】 nubia/努比亚 红魔Mars电竞手机2 红魔二代红魔3迷彩游戏手机三代,"￥2,299.00",24人付款,博盛景数码专营店,广东 深圳,,,
新品上市/Huawei/华为 畅享9 新品智能手机学生价官方旗舰店官网正品华为手机 畅想9plus现货9s荣耀9手机华为,￥899.00,329人付款,博海宇通数码专营店,北京,,,
畅享9官网 降价320元HUAWEI 畅享9 华为畅享9plus手机8 畅享9S 9e,￥618.00,3275人付款,国货平价网,广东 深圳,,,
可减400元/3期免息+送智能手环/华为/honor/荣耀 荣耀10GT版正品手机降价官方旗舰店11x新品十青春版官网V20,"￥1,859.00",82人付款,蓝港数码专营店,广东 深圳,,,
现货Samsung/三星 GALAXY Note9 SM-N9600 美版全网通港版4G手机,"￥2,298.00",127人付款,tb38415_55,广东 深圳,,,
Apple/苹果 iPhone XS Max全新国行港版美版日版双卡4G手机秒杀,"￥4,542.12",180人付款,达诚数码商城,广东 深圳,,,
小米8se现货【12期分期】Xiaomi/小米 8 SE全面屏手机探索版,"￥1,148.00",251人付款,龙通店,广东 深圳,,,
Samsung/三星 Galaxy S10+ SM-G9750 S10 港版手机港行S10+联保,"￥3,168.00",480人付款,宏鑫数码通讯,广东 深圳,,,
Samsung/三星 Galaxy S10e SM-G9700三星S10 5G版 三星5G手机刹那,"￥3,552.12",146人付款,librapsp,广东 深圳,,,
分期免息Apple/苹果 iPhone SE128G国行未激活三网通4G正品手机,￥668.00,565人付款,构想与科技同步,广东 深圳,,,
Apple/苹果 iPhone 8 Plus美版欧版国行8p苹果8代手机,"￥4,700.00",230人付款,鱼水源企业店,广东 深圳,,,
OPPO Find X oppo官方旗舰版 oppo限量版超薄 oppo兰博基尼 曲面屏 oppo r17手机全新机 oppo find x oppor19,"￥4,999.00",27人付款,oppo银通亿禾专卖店,浙江 宁波,,,
ZOPO X23水滴屏全面屏游戏智能手机4g网络新手机全网通8G运行128G,￥358.00,752人付款,佳达利通讯,广东 深圳,,,
分期免息Apple/苹果 iPhone XS Max国行手机 苹果XS 港版美版无锁,"￥6,480.00",220人付款,小妮奢侈品代购,广东 深圳,,,
Samsung/三星 GALAXY S8+plus 港版美版s8全网通4G曲面屏智能手机,"￥1,599.00",128人付款,淘馨衣坊服装店,广东 广州,,,
到手价699起 vivo U1手机水滴屏全新正品手机 vivou1新款 vivo u1 z3 z3x u y93 y97 z3i z1青春版 vivo手机,￥749.00,352人付款,vivo曼尼金专卖店,江苏 南京,,,
AGM(手机) X3三防智能手机军工高通骁龙845户外防水全网通双卡双待超长待机战狼防摔IP68手机,"￥3,399.00",23人付款,agm手机旗舰店,广东 深圳,,,
正品K-Touch/天语 L660老人机翻盖手机老年机超长待机老人手机大声大屏大字移动电信版男女学生军工三防备用,￥119.00,7500+人付款,创佰亿数码专营店,广东 深圳,,,
正品保修3年+现货顺丰速发+12期0首付】Huawei/华为 P30 Pro官网官方旗舰店手机正品p30/20pro降价mate20pro,"￥5,588.00",24人付款,小淘器数码专营店,安徽 合肥,,,
送耳机+膜壳Xiaomi/小米 红米6 32G全网通4G大屏手机红米6手机官方旗舰正品6A 6PRO升级版红米6手机新品红米7,￥649.00,494人付款,岸越数码专营店,上海,,,
Apple/苹果 iPhone XR新款手机xs max移动联通电信4G双卡苹果xr,"￥4,100.00",130人付款,吴继勇2013,广东 深圳,,,
Apple 苹果 iPhone 6s Plus 全网通4G手机 iphone6splus 苹果6SPLUS#,"￥2,599.00",18人付款,中国电信官方旗舰店,北京,,,
【现货速发】华为HONOR/荣耀 畅玩7全面屏手机智能手机官方旗舰店官网全新机正品老人机老年机全网通,￥599.00,578人付款,荣耀官方旗舰店,广东 深圳,,,
Samsung/三星 GALAXY Note9 SM-N96000 港版美版大屏带手写笔手机,"￥3,158.00",115人付款,小萝卜通讯,上海,,,
新品现货速发分期免息/uawei/华为 P30 官网官方旗舰店手机正品麒麟980/p30pro P20 mate20 nova4 pro荣耀 20,"￥3,988.00",18人付款,和来达数码专营店,广东 深圳,,,
【618特惠至1799元】OPPO R17 oppor17手机全新机正品 新款oppor17新年版限量oppor17手机oppor15x findx未来,"￥1,999.00",67人付款,oppo初然专卖店,浙江 杭州,,,
【12期分期 到手价6058元起】Apple/苹果 iPhone X 全网通版智能4G手机64/256G移动联动电信官方旗舰店正品,"￥6,058.00",7人付款,翼天下天翼电信旗舰店,江苏 南京,,,
小辣椒7P新款八核4+64G学生价大屏幕游戏手机超薄移动联通电信4G全网通分屏计步双卡指纹人脸识别拍照智能机,￥559.00,359人付款,中电盈讯数码专营店,广东 深圳,,,
【直降200元】OPPO R17 oppor17手机全新机正品 新款oppor17 oppo新品r17 r15梦境0oppor17超薄版r15x r11,"￥2,499.00",25人付款,oppo蓝源专卖店,广东 深圳,,,
Philips/飞利浦 E256S 翻盖老人机大字大声大屏超长待机老年手机男女款移动 双卡双待按键学生备用机诺基亚,￥288.00,1315人付款,华宇广诚数码专营店,广东 深圳,,,
【立减700元】OPPO R15x 全网通 oppor15x手机全新机正品 oppo新品r15x r17 oppo限量版超薄 oppor15梦境版,"￥1,699.00",28人付款,oppo金谷专卖店,广东 东莞,,,
【下单至高减300】vivoZ3全网通智能4G水滴全面屏高通骁龙710AIE处理器新款手机 vivoz1 z3i z3a y85 y83 x21,"￥1,148.00",266人付款,vivo衡视专卖店,上海,,,
正品DOOV/朵唯D1学生价超薄指纹智能手机水滴全面屏全网通4G网络新游戏全屏千元微信八开安卓大屏老人老年5g,￥599.00,455人付款,浩瑜数码专营店,广东 深圳,,,
当天发优惠851仅1448起送礼Huawei/华为 nova 3i手机官方旗舰店正品nova4e青春nova3降价p20官网mate10pro 20,"￥1,498.00",120人付款,同步飞扬数码专营店,广东 深圳,,,
【送低音炮】OPPO A9 oppo新品 a5 a83 a77 oppor15手机全新机r11s a1 a3 a73 r15x a7x oppo限量版超薄 oppo,"￥1,399.00",581人付款,佳惠兴通数码专营店,广东 深圳,,,
Xiaomi/小米 Redmi K20 骁龙 855红米K20Pro官方正品旗舰新手机9x,"￥2,199.00",251人付款,龙通店,广东 深圳,,,
【6期免息】ZTE/中兴 Blade V10 3200万AI自拍美颜 高清大屏大电池强续航学生双卡双待全网通4G+手机,"￥1,099.00",108人付款,zte中兴官方旗舰店,广东 深圳,,,
魅族16plus领券低2388起+送电源】Meizu/魅族 16th PLUS手机官方旗舰骁龙845官网16thplus正品16X全面屏16th,"￥2,388.00",15人付款,广东电信亿品汇专卖店,广东 深圳,,,
【直降800元】Xiaomi/小米 小米8骁龙845探索版小米8SE手机NFC2S,"￥1,466.00",301人付款,晨颖通讯,广东 广州,,,
Apple/苹果 iPhone XS Max iphoneXs 苹果xs 双卡xs手机港版国行,"￥4,629.00",119人付款,利显科技,广东 深圳,,,
纽曼 L9全网通三防老年手机超长待机移动电信大字大声老人手机大屏正品老年机军工路虎诺基亚学生直板老人机,￥289.00,1761人付款,宸欣数码专营店,广东 深圳,,,
【3期免息 限时低至1099起】OPPO K1全面屏拍照屏幕指纹美颜骁龙旗舰手机全新官方正品旗舰店oppor17 oppok1,"￥1,199.00",2848人付款,苏宁易购官方旗舰店,江苏 南京,,,
【新品开售，享五重好礼】Samsung/三星Galaxy A60 SM-A6060 元气版全网通智能手机官方正品三摄骁龙675,"￥1,499.00",497人付款,苏宁易购官方旗舰店,江苏 南京,,,
【支持天猫100元券/送延保/送壳膜】 苹果7 Apple/苹果 iPhone 7 全网通4G手机 iphone7 6s 8 p xr xs max,"￥3,098.00",102人付款,三际数码官方旗舰店,山东 济南,,,
可省320元 vivo S1全新手机 vivos1手机 新品s1 vivox27 vivos1 vivox23 x21 x30 iqoo x9 iqoo vivoz3手机,"￥1,798.00",520人付款,三际数码官方旗舰店,山东 济南,,,
【可领300优惠券+到手机1799起】华为/honor/荣耀 荣耀10中移动官方旗舰店正品荣耀10 11X 9i 华为手机 v20,"￥1,799.00",25人付款,中国移动官方旗舰店,浙江 杭州,,,
【3期免息/送壕礼】Huawei/华为 nova 2s中移动手机正品官方旗舰店全新nova4e青春版nova3 3i 3e 4 plus降价,"￥1,658.00",149人付款,中国移动官方旗舰店,浙江 杭州,,,
128G咨询低至2349起 Xiaomi/小米 小米8 屏幕指纹版手机新正品官方旗舰店透明探索9se八plus骁龙845青春,"￥2,399.00",62人付款,能良数码官方旗舰店,上海,,,
当天发咨询减250元Huawei/华为 P20 Pro 手机官方旗舰店P20pro正品mate10pro降价mate20Pro华为p30pro,"￥3,068.00",58人付款,能良数码官方旗舰店,上海,,,
【限时最高可用200元天猫券】现货速发/送壳膜/ Apple/苹果 iPhone8 plus全网通4G手机 国行正品苹果8plus,"￥4,609.00",20人付款,君问数码官方旗舰店,浙江 杭州,,,
荣耀20【现货当天发】华为honor/荣耀 荣耀20手机 荣耀20pro v20i,"￥2,699.00",234人付款,品牌机批发店,广东 深圳,,,
荣耀v20手机【官方降价1010】华为honor/荣耀 荣耀V20全面屏p30新,"￥1,888.00",248人付款,春江哥,四川 成都,,,
顺丰包邮 12期分期Huawei/华为 nova 3e全网通手机华为官方旗舰店官网正品nova3全面屏2s华为nova4E,"￥1,299.00",94人付款,久汇数码专营店,广东 深圳,,,
【到手价838】Meitu/美图 M8S美图手机自拍美颜手机 美图M8s美少女全网通4G手机美图秀秀智能拍照美图手机M6s,￥848.00,188人付款,美图万能小主专卖店,湖北 武汉,,,
6+128G版本/分期免息 华为honor/荣耀 荣耀8X 正品手机官方旗舰店官网荣耀8x max系列2018新上市新品荣耀11x,"￥1,699.00",55人付款,博海宇通数码专营店,北京,,,
红魔3代【立减750】nubia/努比亚 红魔Mars电竞手机游戏新品红魔,"￥2,098.00",378人付款,wezebaba,广东 深圳,,,
新品【现货速发】Huawei/华为 P30现货手机正品旗舰店mate20pro降价nova4全面屏畅享9p/9s/v20学生手机,"￥3,988.00",68人付款,京合旗舰店,安徽 合肥,,,
【仅1429元起+抽平衡车】Xiaomi/小米 小米Max3全面屏大屏大电量游戏手机智能老人拍照手机官方旗舰店正品,"￥1,429.00",113人付款,玩风数码专营店,山东 济南,,,
12期免息抽大额优惠券 vivo X27pro新品手机 vivox27 PRO限量版viv0x27 vivo x27 x23幻彩vivo手机官网旗舰店,"￥3,998.00",34人付款,vivo智轩优品专卖店,广东 深圳,,,
Coolpad/酷派 1831-A0全面屏学生价游戏超薄安卓智能手机全网通,￥489.00,1439人付款,乐淘猫科技,广东 深圳,,,
学生专享 3期免息 Samsung/三星 GALAXY S8 SM-G9500 4+64GB 官方正品 全视曲面屏 IP68防尘防水 4G智能手机,"￥2,899.00",2人付款,三星官方旗舰店,北京,,,
2019新款上市/华为HONOR/荣耀 荣耀20i 智能全面屏手机官方旗舰店官网正品学生价手机荣耀11x降价v20 华为20i,"￥1,599.00",34人付款,博海宇通数码专营店,北京,,,
一加7pro OnePlus/一加 GM1910手机官方旗舰官网7t1+7pro 1加7pro,"￥2,598.00",354人付款,绝对诚信qq464547963,广东 深圳,,,
【已降200元】OPPO A5 oppoa5手机全面屏正品oppo新品 a5 a7x a3a83 a9 r9s r17r15 r11s oppo findx k1,￥799.00,366人付款,oppo欧曙专卖店,上海,,,
【当天现货】Apple/苹果 iPhone XS Max 苹果xs iphone XS手机XR,"￥4,699.00",486人付款,领域数码通讯,广东 深圳,,,
正品【选屏碎保】Xiaomi/小米 8 SE青春版屏幕指纹版note7手机8se,"￥1,048.00",508人付款,品牌机批发店,广东 深圳,,,
分期Apple/苹果 iPhone X 苹果x手机苹果8x国行美版iphonex全网通,"￥3,851.10",41人付款,帅毁了我一生,广东 深圳,,,
小米全网通多亲ai手机微信老年qin1s+按键直板小爱同学电信老人机,￥259.00,1756人付款,yang18676753349,广东 深圳,,,
【Nova4降920元】华为HUAWEI Nova 4全网通4G大屏正品手机nova4e,"￥1,228.00",579人付款,云科数码店,河北 石家庄,,,
【12期0首付 送无线充】现货当天发！Apple/苹果 iPhone XS全网通4G苹果x xsr max xr手机降价正品,"￥7,099.00",61人付款,大唐回浦数码旗舰店,浙江 台州,,,
【抢券立减400】送壳膜 Apple/苹果 iPhone XS 4G全面屏苹果xs移动联通电信全网官方授权店手机A2100正品xr x,"￥7,099.00",29人付款,卓瓦数码专营店,上海,,,
?正品?路虎三防智能手机全网通军工老年人机超长待机电霸大声we,￥299.00,695人付款,添源数码广场,广东 深圳,,,
优惠620元【6期免息送手环等】HONOR荣耀 荣耀V20智能手机荣耀官方旗舰店降价v20 8XMAX青春v10/paly 11x/30,"￥2,599.00",32人付款,同步飞扬数码专营店,广东 深圳,,,
【领劵减+1元疯抢18W快充/抢手表手环】Xiaomi/小米 小米Max3手机全面屏大屏3max官方旗舰正品青春版max2红米,"￥1,398.00",92人付款,气樽数码专营店,广东 广州,,,
现货顺丰速发Lenovo/联想Z6 pro超视频4800万主摄骁龙855全面屏手机PC级液冷散热 游戏 全网通4G 双卡双待,"￥2,879.00",43人付款,民讯通数码专营店,北京,,,
可减400/分期免息/送手环/充电宝 华为honor/荣耀 荣耀NOTE10手机官网旗舰店note10降价noto10/v20/magic2,"￥2,049.00",27人付款,博盛景数码专营店,广东 深圳,,,
Samsung/三星 GALAXY S8+plus 港版美版s8全网通4G曲面屏智能手机,"￥1,528.00",371人付款,xgl谢桂丽,广东 深圳,,,
创星（手机） Z9翻盖手机老人机超长待机电信版老年手机大字大声正品天翼儿童机诺基亚学生手机只可以打电话,￥118.00,3308人付款,慕尚年华数码专营店,广东 深圳,,,
红米note7【989起】Xiaomi/小米 Redmi Note 7pro手机新品骁龙660双摄4800万千元拍照官方正品小金刚,￥999.00,148人付款,君问数码官方旗舰店,浙江 杭州,,,
【限时立减400】OPPO R15x 全网通 oppor15x手机正品oppo新品r15x超薄版 oppor17a9 r11 findx oppor15梦境版,"￥1,699.00",89人付款,oppo欧曙专卖店,上海,,,
6期免息/保修三年/减400/现货速发Huawei/华为 Mate 20 Pro官方旗舰店正品降价新款商务手机p20/30 pro/nova4,"￥4,899.00",57人付款,小淘器数码专营店,安徽 合肥,,,
新手机上市 vivo S1pro全新正品手机 vivos1pro手机官网 vivos1新款vivo x9 x20 x21 x30 vivoy vivos 限量版,"￥2,498.00",64人付款,首佳誉数码专营店,广东 东莞,,,
当天发领劵128G低至2099元起/送手环 】Xiaomi/小米 小米8手机官方旗舰店正品小米八se8plus青春探索版指纹版,"￥1,899.00",128人付款,气樽数码专营店,广东 广州,,,
优惠叠加可减400元【6期免息 送豪礼】Huawei/华为 Mate20手机mate20pro官方旗舰店nova4正品P20华为P30降价,"￥3,499.00",29人付款,华为莫问专卖店,浙江 杭州,,,
现货【送10重好礼】 Huawei/华为 畅享9 PLUS 全网通4G手机华为官方旗舰店官网正品华为畅想9plus华为畅想9 e,￥898.00,85人付款,久汇数码专营店,广东 深圳,,,
【分期免息送豪礼】Huawei/华为 nova 3e手机官方旗舰店正品2s官网nove4降价3i新款8max青春,"￥1,399.00",113人付款,豪置数码专营店,上海,,,
现货Samsung/三星 Galaxy A60 SM-A6060元气版盖乐世手机A70 A40s,"￥1,299.00",268人付款,abby7313,广东 深圳,,,
Apple/苹果 iPhone XS Max 苹果手机xs max港版美版xsm有锁双卡XR,"￥3,540.00",251人付款,李志才864335,广东 深圳,,,
降价500元华为HUAWEI 畅享9 PLUS正品手机官网畅享9s 9e畅享9plus,￥758.00,919人付款,深港通信专卖,广东 深圳,,,
酷驰 X23水滴屏学生价安卓超薄游戏指纹智能电信全网通手机正品,￥388.00,3727人付款,王者通讯2013,广东 深圳,,,
学生专享 Samsung/三星 Galaxy A9S SM-A9200 后置四摄 6+128G 4G智能手机 人脸识别,"￥2,499.00",7人付款,三星官方旗舰店,北京,,,
Samsung/三星 galaxy note8 港版美版全网通韩版 Note8手机 现货,"￥1,616.00",334人付款,小萝卜通讯,上海,,,
【下单立减100 分期免息0首付】OPPO K1手机全新机正品新款oppok1手机屏幕指纹r17 r15 a5 r11 a7x findx手机,"￥1,199.00",178人付款,金网数码专营店,广东 深圳,,,
Apple/苹果 iPhone 8 4.7英寸4G全网通手机4G版全新未激活智能64G/256G国行正品全国联保 金银灰红色,"￥3,799.00",7人付款,apple天羽汇通专卖店,江苏 南京,,,
【抢券低至749起】Xiaomi/小米 小米Play 旗舰店官方正品 8周年全面屏双卡青春全网通智能拍照游戏手机,￥899.00,411人付款,苏宁易购官方旗舰店,江苏 南京,,,
【6.1-6.2限时直降】Huawei/华为畅享9 Plus全面屏超清屏前后四摄华为官方旗舰智能店铺正品青春学生手机,"￥1,249.00",1746人付款,苏宁易购官方旗舰店,江苏 南京,,,
6.1日领券减80元128版2069起+送方糖xiaomi/小米9SE手机官网旗舰店6全新8SE正品note78青春版9plus红米K20pro,"￥1,899.00",326人付款,三际数码官方旗舰店,山东 济南,,,
优惠1350元/当天发12期免息Huawei/华为 Mate 20 X 华为mate20x手机20rs官方旗舰店nova4e正品p30pro新款降价,"￥4,499.00",96人付款,三际数码官方旗舰店,山东 济南,,,
【到手价3198起 8+128现货】Meizu/魅族16s中移动官方旗舰店4G屏下指纹骁龙855魅族16xplus 魅族16s手机新品,"￥3,198.00",61人付款,中国移动官方旗舰店,浙江 杭州,,,
6+64G低至1359起+送智能手环 Xiaomi/小米 小米8SE全面屏手机正品官方旗舰店新品9se八骁龙710青春版note7pro,"￥1,359.00",154人付款,能良数码官方旗舰店,上海,,,
8+128G低至31?9起+3期免息 Xiaomi/小米 黑鲨游戏手机2官方旗舰店9se骁龙845透明红探索3代魔Heloiqoo电竞5,"￥3,199.00",28人付款,能良数码官方旗舰店,上海,,,
[最高省410元]vivo z3全网通中移动全新vivo手机官方青春学生机游戏性能机vivoz3 vivox23 iqoo s1 z3i z3xx9,"￥1,148.00",86人付款,中国移动官方旗舰店,浙江 杭州,,,
已降价900元 Huawei/华为 麦芒7 手机全面屏全网通官方旗舰店官网正品双卡6+64G七分期免息送礼双电信8荣耀,"￥1,499.00",132人付款,同迅数码专营店,辽宁 大连,,,
OPPO Find X兰博基尼版8+512GB全网通oppofindx4G拍照手机正品oppo findx,"￥9,999.00",4人付款,oppo官方旗舰店,广东 东莞,,,
【已降400送智能手环】OPPO R17 oppor17手机全新机正品 新款oppor17超薄限量版 oppor17 pro r15 r11 r17 s,"￥1,999.00",39人付款,oppo聚洪欧珀专卖店,湖北 武汉,,,
送荣耀耳机/咨询减160】华为honor/荣耀 荣耀8X手机官方旗舰店畅玩X8降价11x畅享x8官网10青春20i新品降价,"￥1,299.00",177人付款,君问数码官方旗舰店,浙江 杭州,,,
【6+128g 咨询立减 12期免息】 Nokia/诺基亚 X71手机4G全网通正品官方旗舰蔡司认证4800万后置三摄,"￥2,198.00",183人付款,亿科美数码专营店,山东 济南,,,
Apple/苹果 iPhone X 5.8英寸全网通4G版智能手机 苹果X 苹果10 iPhone10 iPhonex 全面屏手机国行正品新款,"￥6,098.00",10人付款,卓辰数码旗舰店,浙江 杭州,,,
【12期0首付 送无线充】 Apple/苹果 iPhone 8 Plus 全网通手机苹果7 iPhone xr xs 手机官方正品,"￥4,799.00",114人付款,大唐回浦数码旗舰店,浙江 台州,,,
【新品上市】OPPO A9 oppoa9手机全新oppo新品A9限量版oppor17 r15梦境版 a5 a3 a7x findx 0ppo手机,"￥1,399.00",85人付款,oppo蓝源专卖店,广东 深圳,,,
逼哥手机Samsung/三星 Galaxy S10+ SM-G9750 S10 5G版三星5G手机,"￥3,366.00",265人付款,大晟威盛,山东 威海,,,
honor/荣耀 荣耀V10全网通全面屏4G全新正品华为荣耀V10手机6+64,"￥1,478.00",341人付款,旺盈数码城,广东 深圳,,,
高配版送200元礼 华为honor/荣耀 荣耀10青春版 全面屏官方旗舰店官网正品手机降价play新品8X全网通9i畅享20,"￥1,299.00",73人付款,同迅数码专营店,辽宁 大连,,,
赤茶橘现货华为p30手机HUAWEI HUAWEI P30 Pro现货P30pro正品国行,"￥3,599.00",158人付款,meishuang0928_2008,北京,,,
直降400元分期免息华为honor/荣耀 荣耀V20官网手机降价麒麟980荣耀官方旗舰店正品Magic2 note 20 Pro荣耀20,"￥2,599.00",30人付款,和来达数码专营店,广东 深圳,,,
荣耀v20【现货速发】honor/荣耀 荣耀V20 麒麟980 全网通4G手机,"￥2,239.00",69人付款,t_1497275927126_0366,山东 济南,,,
Philips/飞利浦 E331K 直板按键手机老人机大屏大字大声超长待机老年机移动,￥189.00,1495人付款,飞利浦手机官方旗舰店,江苏 苏州,,,
Huawei/华为 Mate 20 Pro 6G+128G原装正品mate20pro麒麟980手机,"￥3,899.00",99人付款,众合数码高手,广西 南宁,,,
红魔3新品/现货当天发 nubia/努比亚红魔3电竞手机3代全网通游戏手机骁龙855红魔2三代红魔3黑鲨Helo红魔Mars,"￥2,299.00",63人付款,八连星手机专营店,上海,,,
直降500元【送黑鲨原装手柄】xiaomi/小米黑鲨游戏手机2 小米9官方旗舰店Helo二代手机3电竞专用256G骁龙855,"￥2,899.00",29人付款,信怡数码专营店,浙江 杭州,,,
【顺丰包邮速发】vivo Z1全面屏智能双摄4G全网通学生全新正品官方旗舰店智能限量版手机vivoz1 z1i Z3 z,"￥1,498.00",228人付款,vivo官方旗舰店,广东 东莞,,,
正品花呗分期P30超薄水滴屏全网通5G游戏学生价智能手机酷驰X23,￥388.00,500人付款,tb206432758,广东 深圳,,,
【6.1-6.2咨询可减100元+3期免息】 Huawei/华为 畅享9e 官网官方旗舰店正品手机畅享8/8e/9P/畅想9e/畅享9s,￥999.00,280人付款,小淘器数码专营店,安徽 合肥,,,
64G729起顺丰包邮 Meizu/魅族 魅族 V8 魅蓝V8 全网通智能官方旗舰店官网正品老人老年手机魅蓝6/6T/S6/NOTE9,￥699.00,235人付款,久汇数码专营店,广东 深圳,,,
Apple/苹果 iPhone X 5.8寸 苹果x 美版国行 iphonex三网通4G手机,"￥4,000.00",31人付款,大麦时尚馆,广东 深圳,,,
分期免息 Apple/苹果 iPhone 7 Plus苹果7plus全网通4G手机7P正品,"￥2,640.00",215人付款,手机耳线专区,广东 深圳,,,
三星S10+移动版Samsung/三星 Galaxy S10+ SM-G9750港版现货手机3,"￥3,269.00",138人付款,鑫世纪88通讯专卖,北京,,,
12期免息/送荣耀手环Huawei/华为 Mate 20 X 官网官方旗舰店正品Mate20x手机分期mate20pro降价nova34麒麟980,"￥4,499.00",29人付款,广东电信亿品汇专卖店,广东 深圳,,,
Philips/飞利浦 E259S 翻盖老人机大字大声大屏超长待机老年手机男女款移动 双卡双待按键学生备用机诺基亚,￥309.00,773人付款,蒙帝鸿运数码专营店,广东 深圳,,,
小马宝莉儿童定位安全手机学生手表智能定位gps多功能儿童手机女孩小学生定位wifi戒网手机儿童非智能小手机,￥399.00,399人付款,天颖数码专营店,广东 深圳,,,
【3578元起】HUAWEI HUAWEI P30 官方正品直降手机 华为P30pro,"￥3,088.00",61人付款,hanjbo,河南 郑州,,,
现货Huawei/华为 Mate 20原装正品64G新款6G+128G内存麒麟980手机,"￥2,698.00",281人付款,众合数码高手,广西 南宁,,,
小米 红米6A 全网通版 全面屏手机移动联通电信4G手机双卡双待 学生老人机红米6a#,￥529.00,626人付款,中国电信官方旗舰店,北京,,,
顺丰包邮+送碎屏险Huawei/华为 P10 手机 双卡双待智能手机官方旗舰店正品莱卡双摄拍照手机全网通4G/p10plus,"￥1,679.00",31人付款,爱谷歌数码专营店,广东 深圳,,,
6期分期免息可减100元128g/Huawei/华为畅享9S手机官网官方旗舰店正品畅享9plus P30 Pro mate20 nova4 e荣耀,"￥1,199.00",131人付款,和来达数码专营店,广东 深圳,,,
4+64G1099元起 Huawei/华为 畅享8 Plus全网通智能4G手机华为官方旗舰店官网正品 畅享9SPLUS华为nova4 8e,￥999.00,124人付款,久汇数码专营店,广东 深圳,,,
honor/荣耀 荣耀play 全网通华为新荣耀paly麒麟970游戏手机plαy,"￥1,279.00",313人付款,智能宝企业,广东 珠海,,,
华为honor/荣耀 荣耀9 全网通4G 麒麟960 曲面极光玻璃 智能手机【荣耀9i 麒麟659 全面屏 学生智能手机】,"￥1,368.00",88人付款,华飞数码专营店,上海,,,
