,标题,价格,销量,店铺,店铺信誉分,等级
353,【至高省400元】/OPPO A5 oppoa5手机新品 a5oppo手机 oppoa7x a1 oppor17 r15 a83 a7 oppor11s a3 oppor9s,799,1027,能良数码官方旗舰店,4.8545,不值得 
335,官方 Xiaomi/小米 Redmi 7红米7pro小米7x新手机 全面屏note7正品,699,1085,一朵花的记忆,4.83223,不值得 
119,分期免息 Apple/苹果 iPhone XR 苹果iphonexr xs max双卡4G手机8,3789,2603,王牌风范女装,4.96153,不值得 
282,489元起】现货速发Huawei/华为 畅享8e全网通4G全面屏指纹电信正品荣耀畅玩7/7x畅享8e青春智能老人老年手机,489,1249,晋商数码专营店,4.82164,不值得 
191,【6.1-6.2限时直降】Huawei/华为畅享9 Plus全面屏超清屏前后四摄华为官方旗舰智能店铺正品青春学生手机,1249,1746,苏宁易购官方旗舰店,4.89433,不值得 
149,vivo U1 手机正品 vivou1新品千元 vivoy73 x27 y81s y83 y97 x9 vivo×30 y93 vivoz1 z3 vivox23手机官网 U,749,2062,能良数码官方旗舰店,4.8545,不值得 
200,领300券 vivo iQOO手机vivoiqoo手机iqoo限量版 iq00 vivox23 vivo×30 vivox27 x21 x23幻彩 x9爱酷手机,2798,1680,三际数码官方旗舰店,4.8495,不值得 
323,一加7Pro【官网价现货】onePlus7一加7手机旗舰新品1+7Pro GM1910,4199,1120,雨中的百合哈哈,4.79567,不值得 
212,【降128G+亏本冲量】Xiaomi/小米 小米8 青春版手机小米Play 八se,998,1598,一朵花的记忆,4.83223,不值得 
277,全新 vivo S1手机 vivos1手机 新品限量幻彩版 vivox23 x21 vivox27 vovi s1 vivoz3 y93 y97 x30手机 x9 bbk,1798,1256,能良数码官方旗舰店,4.8545,不值得 
275,现货6期免息/华为honor/荣耀 荣耀10青春版手机官方旗舰店官网正品十降价新8x高配6+64G128g最新款学生机v11,1299,1259,蓝港数码专营店,4.83167,不值得 
96,【限时领200券】Meizu/魅族 X8 准旗舰游戏拍照手机 骁龙710 6.2英寸全面屏拍照游戏智能手机学生机老人机,1298,3238,魅族官方旗舰店,4.81986,一般
19,【6月1日至高直降300】vivo iQOO生而强悍高通骁龙855处理器水滴全面屏智能游戏正品手机官网 vivoiQOO iqoo,2798,15000,vivo官方旗舰店,4.88112,值得
52,【6.1限时优惠400元 1799元起】OPPO R17全面屏拍照手机AI智能屏幕指纹美颜4G全网通学生旗舰正品oppor17,1999,5500,oppo官方旗舰店,4.85593,一般
266,到手价699起 vivo U1手机水滴屏全新正品新款 vivou1 z3 z3x y73 y93 y97 z1青春版手机官方旗舰店 vivou1 u,749,1314,vivo欧曙专卖店,4.92403,不值得 
300,【4G全网通】天语 T2S 老人机移动电信版直板按键女款正品联通老年手机大屏大字大声超长待机学生备用功能机,59,1195,恒之源手机专营店,4.88263,不值得 
83,小辣椒 G108正品老人机军工三防老年手机超长待机电信版大屏大字大声定位学生机直板迷你备用小手机按键电话,56,3674,佳宁数码专营店,4.88393,一般
61,【新色上市 6.1 0点预售】OPPO Reno opporeno全面屏正品官方旗舰新品全网通4800万超清拍照智能手机R15 R17,2999,4900,oppo官方旗舰店,4.85593,一般
32,4G全网通天语 T2A老人机超长待机正品老年手机大屏大字大声移动联通电信版天翼直板大按键功能小学生老人手机,69,10000,科音数码专营店,4.9111,值得
146,小辣椒 L9 翻盖手机老人机超长待机大屏大字大声 军工三防老年手机男款商务按键备用机超薄双屏学生机正品,139,2104,友欣数码专营店,4.91539,不值得 
211,【6期免息+送冰箱】华为honor/荣耀 荣耀8X全面屏正品手机8xmax官方旗舰店20i新品x8降价10现货v10畅享9plus,1299,1603,能良数码官方旗舰店,4.8545,不值得 
131,【抢券至高省200赠豪礼】vivo U1水滴全面屏大电池拍照智能学生老人大屏手机官方旗舰店官网正品vivou1 u 新,749,2272,vivo官方旗舰店,4.88112,不值得 
157,现货【6期免息】Huawei/华为 nova 4手机官方旗舰店nova4e官网p30 pro新款降价mate20正品nova3i学生手机12,2499,1990,京合旗舰店,4.86087,不值得 
34,创星S1老年手机老人机超长待机女款男智能大屏大字大声全网通移动电信版正品军工三防大按键学生直板小手机4g,55,10000,炜广天成数码专营店,4.83138,值得
229,【整点购机享好礼】realme X青春版 骁龙710 4045mAh大电池 VOOC闪充 3.0正品智能手机,1199,1497,苏宁易购官方旗舰店,4.89433,不值得 
168,纽曼 S9军工三防老人机移动联通电信全网通大字大声大屏直板按键功能机备用老年人手机超长待机天翼正品,248,1929,纽曼鹏宇佳业专卖店,4.93983,不值得 
13,【抢券低至8058元】Apple/苹果 iPhone Xs Max 256G 全网通4G手机 双卡双待苹果iphonexsmax,9088,20000,苏宁易购官方旗舰店,4.89433,值得
53,【抢券最高省450 1048起】vivo Z3全面屏高通骁龙710AIE处理器全网通智能4G手机vivo官方旗舰正品vivoz3 Z3 z,1148,5500,苏宁易购官方旗舰店,4.89433,一般
267,DOOV/朵唯 V31S全网通4G移动联通电信全面屏老年老人大字智能手机,289,1291,彩虹色的蜻蜓,4.85205,不值得 
45,纽曼 W560儿童手机 小学生直板可爱男女款迷你按键移动电信版正品非智能手表老人机棒棒机备用老年机卡片手机,78,6500,深圳易乐购数码专营店,4.84263,一般
169,新品【当天发+直降100】Huawei/华为 畅享9华为官方旗舰店官网正品畅想9plus手机nova3荣耀8x新款mate20免息4,899,1924,蓝港数码专营店,4.83167,不值得 
261,【到手价低至4899元起】Apple/苹果 iPhone XR 移动4G+版 苹果xr iphonexr 苹果xr手机 iphone xr,4899,1345,中国移动手机官方旗舰店,4.7983,不值得 
170,【新品上市】一加7Pro手机全新正品OnePlus7pro 骁龙855 一加七 6t 1+7T 一加7手机官方旗舰店官网 一加7pro,4579,1890,一加创华威专卖店,4.86775,不值得 
204,6期免息/优惠850元送礼当天发Huawei/华为 P30 Pro 手机官方旗舰店正品p30pro降价mate20x官网直降nova4e/p20,5488,1672,同步飞扬数码专营店,4.88018,不值得 
144,新品【6期免息+送900元礼】Huawei/华为 nova 4e 官方旗舰店手机正品nova4e官网Mate20pro降价p30pro/荣耀p20,1799,2130,蓝港数码专营店,4.83167,不值得 
38,正品Nokia/诺基亚 新105老人机移动4G超长待机直板按键大字大声经典老年机学生儿童备用迷你小手机官方旗舰店,139,8000,天讯蓝图数码专营店,4.856,一般
99,可省800元 vivo Z3手机 新品vivoz3限量版 vivox27 vivoz3 手机vivox21 z1 vivoz3i vivoz4 x9 vivox23手机,1148,3118,三际数码官方旗舰店,4.8495,一般
156,【 6.1-6.2号32G限时直降200】HUAWEI /华为 畅享9 珍珠屏长续航千元华为官方旗舰智能店铺正品学生手机,799,1991,苏宁易购官方旗舰店,4.89433,不值得 
89,现货Apple/苹果 iPhone XR 苹果xr iphonexr美版国行手机iphone8x,3500,3449,华优数码6405,4.91779,一般
150,YEPEN/誉品 N2卡片手机超薄非智能迷你超小袖珍学生男女备用移动电信个性网红小手机同款儿童戒网瘾正品直板,130,2055,酷泽数码专营店,4.88966,不值得 
305,优惠1150送1000礼12期分期Huawei/华为 nova 4 华为nova4e 官方旗舰店Mate20pro正品p30pro新款p20手机降价30,2499,1179,三际数码官方旗舰店,4.8495,不值得 
268,【4G全网通】Neken/尼凯恩 w2018老年手机超长待机老人手机翻盖手机老人机大屏大字大声老年机移动电信版正品,109,1284,世光创展数码专营店,4.91107,不值得 
361,vivl v17刘海屏全网通4G超薄学生价吃鸡游戏安卓智能一体手机正品,188,1001,易风卖场,4.68257,不值得 
284,【抢券低至6488元】Apple/苹果iPhone Xs 64G移动联通电信全网通4G手机 苹果iPhonexs,7288,1242,苏宁易购官方旗舰店,4.89433,不值得 
348,【支持微信视频】小辣椒 新105 全网通4g老年机超长待机老人手机大屏大字大声直板按键智能老人机联通电信版,188,1047,九方光电数码专营店,4.9566,不值得 
75,至高省300元 2小时闪发 vivo U1手机全面屏vivou1官方旗舰店 y73 vivoy93 y97 vivoz3 z1 x21 x23 x9 vovi u1,749,3941,茂鹏数码专营店,4.93089,一般
112,6期免息+送冰箱/华为honor/荣耀 荣耀8X全面屏手机官方旗舰店学生v10降价11x畅享官网10青春三际20i新品20pro,1299,2786,三际数码官方旗舰店,4.8495,不值得 
309,Philips飞利浦 E289老人机超长待机老年手机移动联通电信版备用机大屏大字大声功能机按键智能小手机全网通4G,379,1155,普华锦讯数码专营店,4.90736,不值得 
272,纽曼 V1老人机老年手机超长待机正品超薄直板按键大屏大字大声移动电信版老人手机功能女学生天翼备用小手机,58,1271,德隆兴盛数码专营店,4.90146,不值得 
42,【12期免息赠智能手环】vivo X27 4800万广角夜景三摄8+256G大运存全网通正品智能4G手机vivoX27 x27 x23,3198,6500,vivo官方旗舰店,4.88112,一般
56,Philips/飞利浦 E258S 直板老人机大字大声大屏超长待机老年手机男女款移动 双卡双待按键学生备用机诺基亚,154,5500,蒙帝鸿运数码专营店,4.96873,一般
69,【享6期免息】Xiaomi/小米 小米9SE 骁龙712水滴全面9屏拍照游戏智能手机4800万三摄官方旗舰正品 小米9,1999,4327,苏宁易购官方旗舰店,4.89433,一般
126,【限时限量低价抢】Apple/苹果 iPhone 7 Plus 32G 全网通4G手机iPhone7plus,3399,2507,苏宁易购官方旗舰店,4.89433,不值得 
43,【抽奖立减300】realme X青春版 骁龙710 4045mAh大电池 VOOC 闪充 3.0 2500万自拍 全网通正品智能手机,1199,6500,realme官方旗舰店,4.8336,一般
159,【6.1-2日赠耳机】Xiaomi/小米 Redmi 7 红米7骁龙632八核双摄智能拍照水滴屏手机官方旗舰note7P老人学生机,799,1988,小米官方旗舰店,4.87582,不值得 
160,长虹 GA528 老人机超长待机正品直板大屏大字大声移动电信版老年手机男女款学生儿童功能大按键备用小手机,148,1987,菜谱数码专营店,4.96528,不值得 
103,【12期免息丨赠移动电源】 Meitu/美图 T9美图T9手机新款双卡双待美颜拍照手机美图手机正品,1499,3024,美图旗舰店,4.75183,一般
179,Neken/尼凯恩 w2018老人机翻盖手机大屏大字大声老人手机移动联通老年手机超长待机男女款正品老年机电信学生,118,1819,贝之心数码专营店,4.85882,不值得 
118,官方Xiaomi/小米 Redmi Note 7红米note7pro新手机6a小金刚 k20,978,2607,heatlinda,4.80853,不值得 
346,Nokia/诺基亚 3.1Plus 全网通4G 大屏双摄 拍照手机 诺基亚手机 nokia3.1plus 诺基亚3.1plus 官方正品手机,679,1055,苏宁易购官方旗舰店,4.89433,不值得 
217,【3期免息 限时低至1799】OPPO R17全面屏拍照手机AI智能屏幕指纹4G全官方旗舰店正品oppor17,1999,1568,苏宁易购官方旗舰店,4.89433,不值得 
289,vivo y67全网通手机指纹 vivoy67手机Y66手机美颜拍照VIVO Y67,536,1230,世纪红通讯7,4.59744,不值得 
161,【影视会员+耳机】Xiaomi/小米 红米6a 新手机红米6小米7x 5a,488,1977,给力不坑爹,4.80381,不值得 
90,新品【当天发+送智能手表】Huawei/华为 畅享9 PLUS官方旗舰店官网正品nova3/4e手机mate20畅想9plus新荣耀8x,1199,3344,蓝港数码专营店,4.83167,一般
27,【6+64GG限时优惠300元】华为HONOR/荣耀10青春版V珍珠全面屏渐变色双卡双待全网通学生手机20官方旗舰店,1299,10000,荣耀官方旗舰店,4.84742,值得
357,抢券减300元 全新vivo iQOO骁龙855官方旗舰店官网 vivoiqoo x23 vovi×30 vivoiq骑士黑 iq00手机限量版bbk,2798,1014,vivo航鹰专卖店,4.91975,不值得 
220,【1号0点下单立减100】华为honor/荣耀 荣耀play游戏青春学生智能全面屏全新手机官方旗舰店paly,1699,1543,苏宁易购官方旗舰店,4.89433,不值得 
253,红米6A-官方正品Xiaomi/小米 红米6a 全面屏老人拍照手机红米6a手机5A升级版7PRO红米note7红米6a手机全网通,498,1383,岸越数码专营店,4.81577,不值得 
256,官方降价820元华为HUAWEI Nova 4全面屏高配版p30手机降价nova4e,1448,1363,深港通信专卖,4.8813,不值得 
227,OBXIN/欧博信 OX2全网通全面屏刘海水滴面部解锁一体机8G运行手机,318,1502,亚米村,4.93857,不值得 
215,分期Apple/苹果 iPhone XS Max 苹果xs max 苹果XR美版有锁手机8P,4599,1586,中华淘购网店,4.95849,不值得 
125,Philips/飞利浦 E163K 老人机超长待机直板按键大屏大字大声移动联通2G老年手机军工女款小学生迷你备用机,135,2516,苏宁易购官方旗舰店,4.89433,不值得 
176,军工三防老人机超长待机全网通电信联通4G老年手机新路虎时代k968,67.2,1845,紫向日葵,4.79187,不值得 
299,小米有品多亲AI手机qin 1s+功能电话移动联通电信4G全网通按键智能可上微信超长待机小爱同学直板学生老年机,379,1195,飞可盈数码专营店,4.80333,不值得 
345,【抢券省250赠好礼】vivo Z5x 5000mAh大电池AI三摄骁龙710旗舰性能全面屏4G手机vivoz5x Z5X Z5 vivoz3 Z3,1398,1055,苏宁易购官方旗舰店,4.89433,不值得 
243,可省220 VIVO Z3X 全新vivoz3x手机 vivo新品限量版 vivox27 z1青春 z4 z3 y93 x9 x23 vivoz3i手机官网正品,998,1448,能良数码官方旗舰店,4.8545,不值得 
55,【18个月长质保】Xiaomi/小米 红米7 骁龙632双摄智能拍照水滴屏手机小米官方旗舰正品小米9 红米note7,799,5500,苏宁易购官方旗舰店,4.89433,一般
63,Apple/苹果 iPhone XR iPhonexr 苹果xs max双卡美版国行手机,4220,4810,哦了个可可,4.97661,一般
151,【爆款直降200】OPPO K1 oppok1手机新款全面屏超薄正品oppo新品 k1 oppor15 r17 r15x a7x r11 a3 k1新品 a9,1199,2035,oppo欧曙专卖店,4.92679,不值得 
109,皓轩 H5军工三防老人机超长待机女款大屏大字大声直板按键移动电信版老年手机正品学生功能天翼备用小手机,38.8,2872,皓轩手机旗舰店,4.93298,不值得 
190,ZTG/中天语 T668正品超小迷汽车跑车移动电信版卡片儿童手机学生,55,1748,bin111bin,4.83965,不值得 
174,【抢券低至7588元起】Apple/苹果 iPhone Xs 256G/512G 移动联通电信全网通4G手机 官方正品苹果iPhoneXs,8688,1857,苏宁易购官方旗舰店,4.89433,不值得 
228,至高可省800元 2小时闪发 vivo Z3手机 新品vivoz3限量版 手机vivoz1 x9 x21 x23官方旗舰店 vivo iqoo z3i,1148,1500,茂鹏数码专营店,4.93089,不值得 
3,Neken/尼凯恩 EN3正品4G全网通老人机超长待机三防军工直板老年手机大屏大字大声移动电信版学生按键女小手机,49,45000,尼凯恩旗舰店,4.88192,值得
354,【61开门红·买赠华为耳机】Huawei/华为 畅享8 全面屏后置双摄官方正品智能千元学生手机,1199,1022,华为官方旗舰店,4.89257,不值得 
100,纽曼 S9全网通4G三防老年老人智能手机老年机超长待机电信大字大声大屏军工路虎诺基亚正品电霸老人机联通4G,248,3105,佳佳购数码专营店,4.95399,一般
178,【4000mAh大电量】Xiaomi/小米 红米Redmi Note 7 骁龙660双摄4800万智能千元水滴屏手机官方旗舰店红米note,1199,1822,小米官方旗舰店,4.87582,不值得 
18,【六期免息！6+128G赠无线充电宝】Xiaomi/小米小米9骁龙855全面屏索尼4800万拍照游戏手机官方旗舰redmi K20,2999,15000,小米官方旗舰店,4.87582,值得
202,纽曼 F8翻盖老人手机备用手机大字大声正品老年机超长待机男女款老人机大按键移动电信版军工三防老年手机,136,1675,一号线数码专营店,4.92497,不值得 
304,尼凯恩EN8 PLUS老人机超长待机直板女款大屏大字大声移动联通电信版老年手机正品三防儿童小学生迷你按键备用,59,1180,网能恒业数码专营店,4.92713,不值得 
192,分期免息Apple/苹果 iPhone X 苹果x手机苹果8x国行iphonex全网通,3850,1745,双喜520025,4.98201,不值得 
332,X23水滴屏学生超薄游戏5g网络新手机全网通4G智能手机8G运行128G,228,1107,诚信快乐淘开心,4.94033,不值得 
82,【6.1-6.2 限时6期免息】Huawei/华为P30麒麟980芯片4000万徕卡三摄超感光录像全面屏时尚手机p30,3988,3695,苏宁易购官方旗舰店,4.89433,一般
20,【抢券省250赠礼】vivo Z5x极点全面屏超广角三摄高通骁龙710处理器智能手机官方正品新品vivoz5x z5 z3,1398,15000,vivo官方旗舰店,4.88112,值得
95,畅享9官网 降价320元HUAWEI 畅享9 华为畅享9plus手机8 畅享9S 9e,618,3275,国货平价网,4.86852,一般
128,【抢先加购】Xiaomi/小米 红米6A智能AI老人学生拍照手机5A升级8周年官方旗舰店正品全网通红米6a,549,2457,苏宁易购官方旗舰店,4.89433,不值得 
106,【12期免息 抢券至高省600】vivo iQOO生而强悍高通骁龙855处理器全面屏智能游戏手机官网正品vivoiQOO iqoo,2798,2958,苏宁易购官方旗舰店,4.89433,不值得 
171,免息直降510华为p30pro送无线充HUAWEI HUAWEI P30 PRO价官方手机,3508,1884,赛西湖,4.90255,不值得 
311,顺丰现货发139起【送耳机壳膜】 Nokia/诺基亚 新105老人机移动联通功能机大字老年学生备用迷你小手机经典款,139,1152,三际数码官方旗舰店,4.8495,不值得 
120,【抢券至高省200 699起】vivo U1水滴全面屏大电池拍照智能4G官方正品手机指纹双识别vivou1 y73 z1 Z3 iqoo,749,2595,苏宁易购官方旗舰店,4.89433,不值得 
188,小米全网通多亲ai手机微信老年qin1s+按键直板小爱同学电信老人机,259,1756,yang18676753349,4.90478,不值得 
285,新款5G全网通4G网络手机智能学生游戏水滴屏超薄指纹正品VIVI V18,468,1242,盛豪数码zjs,4.89979,不值得 
25,【61开门红·最高直降300】Huawei/华为 nova4e AI超广角三摄全面屏正品智能关晓彤代言手机nova4e,1799,10000,华为官方旗舰店,4.89257,值得
199,【3期免息 抢券减100！】OPPO K3骁龙710屏幕指纹升降全面屏全网通拍照4G智能手机正品官方游戏oppok3 k1,1599,1684,苏宁易购官方旗舰店,4.89433,不值得 
331,可减274当天发12期Huawei/华为 畅享9 全网通官网官方旗舰店正品手机畅想9plus/nova4荣耀8xmate20免息p30pro,849,1107,三际数码官方旗舰店,4.8495,不值得 
221,Philips/飞利浦 E188A三防手机老年手机超长待机手机大字大声音老人机防水军工正品手机直板功能手机学生手机,399,1529,金蛇数码专营店,4.9644,不值得 
213,【6月1日券后2299】Xiaomi/小米 小米8屏幕指纹版米9全面屏拍照游戏手机8SE学生机9se小米官旗青春版Note7P,2499,1594,小米官方旗舰店,4.87582,不值得 
116,小辣椒G2老人机超长待机老年手机大屏大字电信女款移动老人手机大声按键手机全网通正品学生备用小手机,56,2670,世光创展数码专营店,4.91107,不值得 
206,可省400 OPPO K1 oppok1手机全新机限量超薄官网 oppo新品k1 k5 a3 oppor17 r15 r11 a5 a7x a9 a9x 0ppo旗舰,1199,1653,三际数码官方旗舰店,4.8495,不值得 
129,现货速发Samsung/三星 Galaxy S10+ SM-G9750三星S10港行港版手机,3298,2402,中华淘购网店,4.95849,不值得 
51,【6期免息】Xiaomi/小米 小米9 骁龙855全面屏索尼4800万三摄指纹游戏手机小米官方旗舰正品小米9se 9,2999,5500,苏宁易购官方旗舰店,4.89433,一般
172,立减200元仅998起 vivo Z3x 全新官方旗舰店正品 vivoz3限量版vivoz3x手机vivox21 z4 vivox23 vivoz3x z,998,1877,同步飞扬数码专营店,4.88018,不值得 
290,当天发/6期免息/Huawei/华为 P30 官网官方旗舰店正品手机p30pro降价mate20pro/nova4/3i/4e/p20pro新款p30p,3988,1223,三际数码官方旗舰店,4.8495,不值得 
222,咨询可优惠/6期免息/华为honor/荣耀 荣耀8X官方正品旗舰学生手机官网全面屏max系列6+64G128g新品11x降价20i,1299,1528,蓝港数码专营店,4.83167,不值得 
127,【6.1抢券省300 898起】vivo Z3x全面屏智能双摄全网通4G官方旗舰正品全新手机vivoz3 z3 z1 z3x u1 z,998,2480,苏宁易购官方旗舰店,4.89433,不值得 
29,【6月1日至高省350】vivo Z3x全面屏智能双摄全网通4G官方旗舰店官网全新限量版手机vivoz3 z3 z1 z3x u1 z,998,10000,vivo官方旗舰店,4.88112,值得
237,新品honor/荣耀 荣耀V20官网降价全面屏华为手机现货Mate20荣耀20,2388,1464,深圳一航,4.88613,不值得 
11,全网通4G天语R7移动联通电信版男女超薄老人机超长待机正品按键直板老年手机大屏大字大声天翼功能小学生备用,68.9,25000,天语强宇专卖店,4.85849,值得
344,领券立减300元 vivo iQOO新品vivoiqoo手机限量版vivo官方旗艦店官网vivox27骁龙855艾酷爱酷游戏手机iq00,2798,1061,vivo天诚专卖店,4.89431,不值得 
93,顺丰速发送耳机】Nokia/诺基亚 新105直板老人机迷你小学生备用手机官方旗舰店超长待机老年非智能儿童经典款,139,3298,京联通达数码旗舰店,4.87786,一般
154,Xiaomi/小米 小米9新手机九se透明版尊享探索plus故宫版10骁龙855,2699,1994,龙通店,4.77704,不值得 
139,【热销爆款】上海中兴守护宝L550 超长待机直板老人手机 大屏大字大声 移动老年手机正品 老人机 学生小手机,85,2203,苏宁易购官方旗舰店,4.89433,不值得 
319,官方Xiaomi/小米 redmi note 7 pro手机红米Note7金刚6 K20正品a,1478,1130,heatlinda,4.80853,不值得 
254,【6+128G赠无线充电宝】Xiaomi/小米小米9 骁龙855全面屏索尼4800万三摄指纹拍照游戏手机官旗王源旗舰,2999,1376,小米官方旗舰店,4.87582,不值得 
336,【限时减400】OPPO K1oppok1手机全新机正品新款oppok1手机限量oppor17oppor15手机oppofindxoppor11sa7xa5a9,1199,1083,oppo平实专卖店,4.92993,不值得 
165,可省300抽大奖 vivo U1手机 vivou1全面屏 新品vivo官网 vivoz3 z1 x30 x21 y97 vivoy93s x23 x9 y85手机,749,1955,三际数码官方旗舰店,4.8495,不值得 
235,官方正品Nokia/诺基亚 新130老人机移动直板按键超长待机大字大声大屏学生儿童男女老年人备用经典迷你小手机,159,1472,天讯蓝图数码专营店,4.856,不值得 
94,送558礼 vivo U1智能手机 vivou1水滴全面屏新品拍照手机官方旗舰店官网 vivoz3 z1 y73 z4 y97 y93s x23,749,3283,vivo衡视专卖店,4.91772,一般
2,【61开门红·旗舰新品 6期免息】Huawei/华为P30 Pro曲面屏超感光徕卡四摄变焦双景录像980芯片智能手机,5488,45000,华为官方旗舰店,4.89257,值得
279,Apple/苹果 iPhone XS Max 港版美版韩版有锁苹果XS iPhoneXS手机,4851,1254,zhuxiaoming1113,4.90527,不值得 
143,ZTE/中兴 L660老人翻盖手机大屏大字大声男女移动联通军工老年手机超长待机正品学生备用功能机按键老手机,179,2136,天中和数码专营店,4.95955,不值得 
270,【3期免息 整点购机赠好礼】realme X 索尼4800万 升降全面屏 VOOC 闪充 3.0 全网通双卡双待正品智能手机,1499,1277,苏宁易购官方旗舰店,4.89433,不值得 
113,官网/降价320元HUAWEI 畅享9 官方正品全面屏千元手机畅享8 9plus,618,2775,龙通店,4.77704,不值得 
167,Apple/苹果 iPhone XS Max新苹果 iPhone xs手机xr国行港有锁美版,4528.2,1936,四川分公司,4.90192,不值得 
252,mate20pro直降1580元Huawei/华为 Mate 20 Pro手机P30降价mate20x,2798,1392,国货平价网,4.86852,不值得 
14,【61开门红·64G买赠华为耳机】Huawei/华为 畅享9 64G 128G全面屏千元高清珍珠屏长续航正品智能游戏手机,1199,20000,华为官方旗舰店,4.89257,值得
262,878元【免息 送碎屏保】华为honor/荣耀 畅玩8C 手机降价 7C 8A,748,1342,龙通店,4.77704,不值得 
10,【6月1-2日32G低至599】Xiaomi/小米 红米6a智能老人学生青春拍照手机小米官方旗舰店正品双卡双待note7红米7,549,25000,小米官方旗舰店,4.87582,值得
316,新品【6期免息+直降300】Huawei/华为 nova 4手机华为官方旗舰店Mate20正品P20新款nova3i降价官网荣耀p30pro,2499,1140,蓝港数码专营店,4.83167,不值得 
123,K-Touch/天语 X15全网通4G正品老人智能手机大字大声大屏老年机超长待机联通移动电信天翼男女款备用学生手机,389,2545,博科雅创数码专营店,4.88937,不值得 
46,索品 S2老人机老年手机超长待机按键直板大屏大字大声移动联通电信版老人手机正品功能机女款学生备用小手机,39,6500,索品数码专营店,4.87346,一般
298,军工三防老人机超长待机移动电信全网通老年人手机新路虎时代k968,65.12,1197,国为数码科技,4.76839,不值得 
80,酷驰 X23水滴屏学生价安卓超薄游戏指纹智能电信全网通手机正品,388,3727,王者通讯2013,4.70688,一般
232,包邮Samsung/三星 GALAXY S9+ plus港版三网通4G盖乐世S9曲屏手机,1354.32,1487,你来我网168168,4.93036,不值得 
187,【低至799元起】 OPPO A5手机全面屏 oppoa5全新手机oppo限量超薄 oppor17 a5 oppor11s r15 a7 a5 oppok1,799,1758,佳惠兴通数码专营店,4.93063,不值得 
291,Apple/苹果 iPhone XS Max全网双卡手机iphonexs苹果xsmax苹果xr,4498.4,1222,zqf794617369,4.98765,不值得 
65,【6月1日至高直降300】vivo S1升降摄像头零界全面屏全网通智能4G手机官方正品vivos1 s1 X27 iqoo x23 s,1798,4754,vivo官方旗舰店,4.88112,一般
74,Apple/苹果 iPhone XS Max 苹果xsmax iphone Xs美版有锁4G手机xr,4255,3993,雅诺芬,4.98982,一般
325,【6期免息/现货当天发】华为honor/荣耀 荣耀V20手机新品官方旗舰店v10降价10麒麟980官网20pro新荣耀magic3,2699,1116,能良数码官方旗舰店,4.8545,不值得 
121,【抢券至高省450赢豪礼】vivo Z3全面屏高通骁龙710处理器闪充智能学生手机官方旗舰店官网正品vivoz3 z3,1298,2572,vivo官方旗舰店,4.88112,不值得 
78,天语I10 迷你智能手机抖音同款学生男网红小手机女可爱超小超薄特小最小全网通电信4G卡片小屏备用袖珍新款型,494,3820,炜广天成数码专营店,4.83138,一般
314,6期免息/送多重壕礼/华为 HUAWEI P30 Pro中移动手机正品官方旗舰店mate 20 Pro X p20 Pro 10plus限量直降,5488,1143,中国移动官方旗舰店,4.97613,不值得 
145,3期免息 Apple/苹果 iPhone XR 苹果xr iphonexr双卡 iphonex手机,3688,2127,诚信手机有限公司,4.96682,不值得 
264,现货Apple/苹果 iPhone XR 苹果xr iphonexr美版国行手机iphonex,4230,1329,wxjking,4.72698,不值得 
338,3期免息 128G直降200】Huawei/华为 畅享9 PLUS 官网官方旗舰店手机正品畅想9plus正品手机mate20pro正品手机,1399,1077,小淘器数码专营店,4.87663,不值得 
15,【61开门红·购机直降150 下单立减100】Huawei/华为 畅享 8e 青春版 4G高清全面屏正品智能学生老人游戏手机,649,20000,华为官方旗舰店,4.89257,值得
