,标题,价格,销量,店铺
386,【4000mAh大电量】Xiaomi/小米 红米Redmi Note 7 骁龙660双摄4800万智能千元水滴屏手机官方旗舰店红米note,1199.0,1822,小米官方旗舰店
1326,Neken/尼凯恩 w2018老人机翻盖手机大屏大字大声老人手机移动联通老年手机超长待机男女款正品老年机电信学生,118.0,1819,贝之心数码专营店
1421,官方正品 创星S9C军工三防全网通4G老年手机老人机WIFI版超长待机王大字大声大屏电霸电信联通4G诺基亚经典,228.0,1812,百灵佳讯数码专营店
205,Philips/飞利浦 E188A真三防户外手机老人手机军工品质超强防水超长待机大字大声大屏老年机持久续航防摔防尘,379.0,1808,伟业恒通数码专营店
1303,官网Xiaomi/小米 Redmi 7 红米7a全面屏7pro官方正品新手机小米7x,668.0,1801,龙通店
1053,UniscopE/优思 8S8移动联通电信全网通4G迷你安卓智能超薄超小袖珍男女卡片学生备用网红抖音同款小手机,238.0,1783,航舰达数码专营店
257,分期免息Apple/苹果 iPhone X苹果x国行iphonex手机全网通现货,4400.0,1775,饼干和面包
1116,纽曼 L9全网通三防老年手机超长待机移动电信大字大声老人手机大屏正品老年机军工路虎诺基亚学生直板老人机,289.0,1761,宸欣数码专营店
2109,【三期免息+碎屏保】华为honor/荣耀 畅玩7智能手机7C/7A老人机8a,489.0,1760,龙通店
521,【低至799元起】 OPPO A5手机全面屏 oppoa5全新手机oppo限量超薄 oppor17 a5 oppor11s r15 a7 a5 oppok1,799.0,1758,佳惠兴通数码专营店
1143,小米全网通多亲ai手机微信老年qin1s+按键直板小爱同学电信老人机,259.0,1756,yang18676753349
614,Samsung/三星 GALAXY S8+ plus港版美版s8双卡曲面屏手机SM-G9550,1599.0,1755,淘吧电讯
4338,ZTG/中天语 T668正品超小迷汽车跑车移动电信版卡片儿童手机学生,55.0,1748,bin111bin
1171,【6.1-6.2限时直降】Huawei/华为畅享9 Plus全面屏超清屏前后四摄华为官方旗舰智能店铺正品青春学生手机,1249.0,1746,苏宁易购官方旗舰店
28,分期免息Apple/苹果 iPhone X 苹果x手机苹果8x国行iphonex全网通,3850.0,1745,双喜520025
352,Samsung/三星 GALAXY S9+plus三星手机港版盖乐世s9原装正品全新,1368.0,1740,ziyo数码
283,可减386元/当天发/Huawei/华为 畅享9 PLUS官网官方旗舰店正品手机新款荣耀8X畅想9P/9s/mate20/nova4/P30pro,1199.0,1704,能良数码官方旗舰店
426,正品coolpad/酷派酷玩7c学生价指纹一体智能手机全网通全面屏超薄游戏8官方旗舰店7官网老人老年5网络新手机g,499.0,1703,蒙奇数码专营店
337,可省800元 vivo Z3手机vivoz3 z4限量版 vivoz3i z1 x9 vivox27 x21 vivox23 y93 voviz3手机官方网新品,1148.0,1693,能良数码官方旗舰店
106,官网现货OnePlus/一加7pro手机官方旗舰一加手机7t1+7pro 1加7pro,2999.0,1692,wezebaba
546,【2+16G低至549】Xiaomi/小米 红米6a智能AI老人学生青春拍照手机官方旗舰店正品双卡双待,549.0,1687,小米官方旗舰店
481,【3期免息 抢券减100！】OPPO K3骁龙710屏幕指纹升降全面屏全网通拍照4G智能手机正品官方游戏oppok3 k1,1599.0,1684,苏宁易购官方旗舰店
29,领300券 vivo iQOO手机vivoiqoo手机iqoo限量版 iq00 vivox23 vivo×30 vivox27 x21 x23幻彩 x9爱酷手机,2798.0,1680,三际数码官方旗舰店
77,领300券 vivo iQOO手机 vivoiqoo手机 iqoo限量版 iq00 vivox23 vivo×30 vivox27 x21 x23幻彩 x9爱酷手机,2798.0,1680,三际数码官方旗舰店
1457,纽曼 F8翻盖老人手机备用手机大字大声正品老年机超长待机男女款老人机大按键移动电信版军工三防老年手机,136.0,1675,一号线数码专营店
36,6期免息/优惠850元送礼当天发Huawei/华为 P30 Pro手机官方旗舰店正品p30pro降价mate20x官网直降nova4e/p20,5488.0,1672,同步飞扬数码专营店
84,6期免息/优惠850元送礼当天发Huawei/华为 P30 Pro 手机官方旗舰店正品p30pro降价mate20x官网直降nova4e/p20,5488.0,1672,同步飞扬数码专营店
482,【下单低至7288元】Apple/苹果 iPhone X 256G全网通智能手机苹果10 原封正品iPhonex iPhone10,7588.0,1659,苏宁易购官方旗舰店
749,可省400 OPPO K1 oppok1手机全新机限量超薄官网 oppo新品k1 k5 a3 oppor17 r15 r11 a5 a7x a9 a9x 0ppo旗舰,1199.0,1653,三际数码官方旗舰店
435,6期免息+直降200元/华为honor/荣耀 荣耀10青春版全面屏手机降价官方旗舰店V20官网128G新款v10荣耀20i上市11,1299.0,1645,三际数码官方旗舰店
229,当天发+送手环/华为honor/荣耀 荣耀20i手机官方旗舰店新品降价10青春8x畅享11x学生10i上市官网9i特别版V20,1599.0,1640,三际数码官方旗舰店
401,免息直降520元华为p30pro官网HUAWEI HUAWEI P30官方旗舰手机降价,3508.0,1623,国货平价网
4262,ZTG/中天语 A9卡片手机迷你可爱儿童男女学生移动电信网红小手机,58.0,1618,朵儿妈的生活
180,【6期免息+送冰箱】华为honor/荣耀 荣耀8X全面屏正品手机8xmax官方旗舰店20i新品x8降价10现货v10畅享9plus,1299.0,1603,能良数码官方旗舰店
829,【降128G+亏本冲量】Xiaomi/小米 小米8 青春版手机小米Play 八se,998.0,1598,一朵花的记忆
222,【6月1日券后2299】Xiaomi/小米 小米8屏幕指纹版米9全面屏拍照游戏手机8SE学生机9se小米官旗青春版Note7P,2499.0,1594,小米官方旗舰店
31,Samsung/三星Galaxy S10+ SM-G9750骁龙855五摄超感官全视屏IP68防水全网通4G旗舰游戏全新智能手机官方正品,6999.0,1588,三星官方旗舰店
1000,分期Apple/苹果 iPhone XS Max 苹果xs max 苹果XR美版有锁手机8P,4599.0,1586,中华淘购网店
745,【495起】Huawei/华为 畅享8e华为官方旗舰店正品手机畅享9 9Plus手机老年智能老人机荣耀9i畅玩7 x 8e青春版,495.0,1578,八连星手机专营店
746,【3期免息 限时低至1799】OPPO R17全面屏拍照手机AI智能屏幕指纹4G全官方旗舰店正品oppor17,1999.0,1568,苏宁易购官方旗舰店
208,Apple/苹果 iPhone X 苹果X iphonex 苹果x 国行 美版X 4G手机,4900.0,1565,吴继勇2013
540,当天发 OPPO A9 oppoa9手机限量版官网 oppo新品a9 oppoa9splus k1 a 3 a5 r17 a7x未来a9s r9s a9x 0ppo旗舰,1399.0,1547,三际数码官方旗舰店
1224,【1号0点下单立减100】华为honor/荣耀 荣耀play游戏青春学生智能全面屏全新手机官方旗舰店paly,1699.0,1543,苏宁易购官方旗舰店
258,Philips/飞利浦 E188A三防手机老年手机超长待机手机大字大声音老人机防水军工正品手机直板功能手机学生手机,399.0,1529,金蛇数码专营店
153,咨询可优惠/6期免息/华为honor/荣耀 荣耀8X官方正品旗舰学生手机官网全面屏max系列6+64G128g新品11x降价20i,1299.0,1528,蓝港数码专营店
97,12期分期/省540/送900礼Huawei/华为 nova 4e 手机官方旗舰店正品Mate20pro降价p30pro新款3p20 nova4e nova4,1799.0,1524,同步飞扬数码专营店
3609,Philips/飞利浦 E107 直板手机 老人手机大字大声超长待机 老年机 移动商务学生备用机 老人机,79.0,1520,苏宁易购官方旗舰店
584,降价Xiaomi/小米 小米9透明九SE故宫版尊享探索plus手机10骁龙855,2499.0,1511,品牌机批发店
364,魅族note8【立省420元+送599元耳机/电源18壕礼】Meizu/魅族 note8手机官方旗舰店魅蓝v8高配版note6 8 note9,725.0,1511,魅族得者淘专卖店
776,OBXIN/欧博信 OX2全网通全面屏刘海水滴面部解锁一体机8G运行手机,318.0,1502,亚米村
256,至高可省800元 2小时闪发 vivo Z3手机 新品vivoz3限量版 手机vivoz1 x9 x21 x23官方旗舰店 vivo iqoo z3i,1148.0,1500,茂鹏数码专营店
1595,【整点购机享好礼】realme X青春版 骁龙710 4045mAh大电池 VOOC闪充 3.0正品智能手机,1199.0,1497,苏宁易购官方旗舰店
1192,Philips/飞利浦 E331K 直板按键手机老人机大屏大字大声超长待机老年机移动,189.0,1495,飞利浦手机官方旗舰店
122,Samsung/三星 Galaxy A70 SM-A7050 4G智能手机 屏下指纹解锁学生全新全网通游戏官方正品拍照手机大容量电池,2499.0,1492,三星官方旗舰店
247,包邮Samsung/三星 GALAXY S9+ plus港版三网通4G盖乐世S9曲屏手机,1354.32,1487,你来我网168168
721,K-Touch/天语 I9超薄迷你智能卡片手机全网通4G袖珍学生男女超小全面屏网红小屏备用小手机电信新款抖音同款,449.0,1486,ktouch天语众鑫世纪专卖店
499,当天发现货送无线充 HUAWEI HUAWEI P30 PRO官方手机p30pro直降价,3399.0,1482,品牌机批发店
2291,官方正品Nokia/诺基亚 新130老人机移动直板按键超长待机大字大声大屏学生儿童男女老年人备用经典迷你小手机,159.0,1472,天讯蓝图数码专营店
223,【12期免息赠智能手环】vivo X27Pro4800万广角夜景三摄8+256G运存正品智能4G手机新品vivoX27 x27pro x27,3998.0,1464,vivo官方旗舰店
162,新品honor/荣耀 荣耀V20官网降价全面屏华为手机现货Mate20荣耀20,2388.0,1464,深圳一航
728,天语 I10迷你智能手机学生女超小超薄全网通4G移动电信版最小卡片袖珍抖音同款男网红小手机曲面屏备用新款型,499.0,1460,优机汇数码专营店
186,到手价1048起 vivo Z3手机限量全新正品vivoz3 z3x u1 y73 93 x23 vivoz3i z1青春版官方旗舰店 z3vivo z bbk,1148.0,1458,vivo欧曙专卖店
693,【最高直降300】Huawei/华为 nova 4e AI超广角三摄全面屏正品智能关晓彤代言手机nova4e,1799.0,1454,苏宁易购官方旗舰店
1253,华为honor/荣耀 荣耀8全新全网通电信正品 9青春版8x智能4G手机,739.0,1453,缤琪斯
588,【12期免息 全场加赠灯光音响】OPPO Reno 全面屏全网通4800万超清智能拍照手机官方旗舰正品 K1R17R15,2999.0,1452,苏宁易购官方旗舰店
542,可省220 VIVO Z3X 全新vivoz3x手机 vivo新品限量版 vivox27 z1青春 z4 z3 y93 x9 x23 vivoz3i手机官网正品,998.0,1448,能良数码官方旗舰店
1417,官方Xiaomi/小米 Redmi 7红米7a新手机小米7x全面屏红米7pro正品,668.0,1443,heatlinda
1249,酷驰 X23水滴屏学生价超薄大屏游戏安卓智能电信全网通手机正品,388.0,1443,地球上的智商人
143,【6期免息】华为honor/荣耀 荣耀8X官方旗舰店正品学生手机官网V20新8Xmax系列10青春版magic2千元霸屏9i降价,1299.0,1441,京合旗舰店
1135,Coolpad/酷派 1831-A0全面屏学生价游戏超薄安卓智能手机全网通,489.0,1439,乐淘猫科技
1027,降价当天发 Xiaomi/小米 Redmi Note 7新手机小金刚6红米note7pro,978.0,1410,品牌机批发店
525,纽曼X8迷你手机全网通4G微型卡片手机移动联通电信超薄触屏网红袖珍男女学生备用安卓小手机智能,399.0,1403,纽曼汇融通达专卖店
840,vivi v15刘海屏智能手机正品全网通5G网络学生价游戏全新超薄手机,488.0,1402,噼噼啪啪的哈
1659,天语A1超薄迷你卡片手机移动联通小学生手机女生男生非智能戒网手机超长待机可爱儿童直板网红特小手机正品,135.0,1401,天语强宇专卖店
263,mate20pro直降1580元Huawei/华为 Mate 20 Pro手机P30降价mate20x,2798.0,1392,国货平价网
731,红米6A-官方正品Xiaomi/小米 红米6a 全面屏老人拍照手机红米6a手机5A升级版7PRO红米note7红米6a手机全网通,498.0,1383,岸越数码专营店
224,【6+128G赠无线充电宝】Xiaomi/小米小米9 骁龙855全面屏索尼4800万三摄指纹拍照游戏手机官旗王源旗舰,2999.0,1376,小米官方旗舰店
204,Apple/苹果 iPhone XR 苹果xr iphonexr xs max 双卡4G美版手机8X,3549.0,1368,中华淘购网店
619,官方降价820元华为HUAWEI Nova 4全面屏高配版p30手机降价nova4e,1448.0,1363,深港通信专卖
1066,立省220元 vivo Z3X手机 新品vivoz3限量版 vivoz3x z3x手机vivox21 x9 vivoz3 z1 x23 x30 iqoo vivoz3手机,998.0,1362,三际数码官方旗舰店
2565,花呗0元购 正品水滴全面屏安卓智能游戏学生价手机超薄指纹全网通,103.0,1361,花十少1106
99,Samsung/三星 Galaxy S10+ SM-G9750 S10e港版手机港行联保s10e,4098.0,1356,蘑菇家的木耳
21,【到手价低至4899元起】Apple/苹果 iPhone XR 移动4G+版 苹果xr iphonexr 苹果xr手机iphone xr,4899.0,1345,中国移动手机官方旗舰店
69,【到手价低至4899元起】Apple/苹果 iPhone XR 移动4G+版 苹果xr iphonexr 苹果xr手机 iphone xr,4899.0,1345,中国移动手机官方旗舰店
1337,878元【免息 送碎屏保】华为honor/荣耀 畅玩8C 手机降价 7C 8A,748.0,1342,龙通店
1225,【6.1日领券减80元+送手环】Xiaomi/小米 红米7手机小米官方旗舰店redmi7A正品5新款note7pro6学生8老人7plus,699.0,1331,三际数码官方旗舰店
155,现货Apple/苹果 iPhone XR 苹果xr iphonexr美版国行手机iphonex,4230.0,1329,wxjking
1105,Philips/飞利浦 E256S 翻盖老人机大字大声大屏超长待机老年手机男女款移动 双卡双待按键学生备用机诺基亚,288.0,1315,华宇广诚数码专营店
565,到手价699起 vivo U1手机水滴屏全新正品新款 vivou1 z3 z3x y73 y93 y97 z1青春版手机官方旗舰店 vivou1 u,749.0,1314,vivo欧曙专卖店
3246,DOOV/朵唯 V31S全网通4G移动联通电信全面屏老年老人大字智能手机,289.0,1291,彩虹色的蜻蜓
1633,【4G全网通】Neken/尼凯恩 w2018老年手机超长待机老人手机翻盖手机老人机大屏大字大声老年机移动电信版正品,109.0,1284,世光创展数码专营店
291,vivo Z3全新机手机正品 新款 vivoz3官方旗舰店官 新品vivoz4 vivo z3x z3i z1 x21 x23 x20 x30 x7 x9限量版,1148.0,1278,首佳誉数码专营店
853,【3期免息 整点购机赠好礼】realme X 索尼4800万 升降全面屏 VOOC 闪充 3.0 全网通双卡双待正品智能手机,1499.0,1277,苏宁易购官方旗舰店
96,Xiaomi/小米 Redmi K20骁龙 855红米k20pro官方旗舰新手机9大魔王,2199.0,1276,heatlinda
2932,纽曼 V1老人机老年手机超长待机正品超薄直板按键大屏大字大声移动电信版老人手机功能女学生天翼备用小手机,58.0,1271,德隆兴盛数码专营店
39,优惠850当天发6期免息/Huawei/华为 P30 Pro手机官方旗舰店正品华为p30pro降价mate20x/p20直降官网nova4/4e,5488.0,1267,三际数码官方旗舰店
87,优惠850当天发6期免息/Huawei/华为 P30 Pro 手机官方旗舰店正品华为p30pro降价mate20x/p20直降官网nova4/4e,5488.0,1267,三际数码官方旗舰店
265,现货6期免息/华为honor/荣耀 荣耀10青春版手机官方旗舰店官网正品十降价新8x高配6+64G128g最新款学生机v11,1299.0,1259,蓝港数码专营店
1055,正品 VOTO IX20 水滴屏全网通4G指纹人脸解锁超薄游戏智能手机,368.0,1259,zhengpeijie49
131,全新 vivo S1手机 vivos1手机 新品限量幻彩版 vivox23 x21 vivox27 vovi s1 vivoz3 y93 y97 x30手机 x9 bbk,1798.0,1256,能良数码官方旗舰店
1923,Samsung/三星 GALAXY S8 SM-G9500新款盖乐世S8+plus三网通4G手机,1498.0,1255,沈建伟1994
360,Apple/苹果 iPhone XS Max 港版美版韩版有锁苹果XS iPhoneXS手机,4851.0,1254,zhuxiaoming1113
756,官方Xiaomi/小米 redmi note 7 pro新红米note7pro小金刚手机k20,1478.0,1253,龙通店
2451,【4G全网通】小辣椒G2老年手机大字大屏大声正品老人手机超长待机移动联通电信版老人机超薄直板按键学生男女,56.0,1250,嘉宇金成数码专营店
660,489元起】现货速发Huawei/华为 畅享8e全网通4G全面屏指纹电信正品荣耀畅玩7/7x畅享8e青春智能老人老年手机,489.0,1249,晋商数码专营店
397,直降1590正品官方Huawei/华为 Mate 20 Pro全面屏手机P30降价20X,2798.0,1245,深圳一航
164,【抢券低至6488元】Apple/苹果iPhone Xs 64G移动联通电信全网通4G手机 苹果iPhonexs,7288.0,1242,苏宁易购官方旗舰店
916,新款5G全网通4G网络手机智能学生游戏水滴屏超薄指纹正品VIVI V18,468.0,1242,盛豪数码zjs
318,抢券省400元 vivo Z3手机全新品 vivoz3 限量高配版 vivoz3i x23 z1 x21 x9s ×30vovi手机官方旗舰店官网bbk,1148.0,1238,vivo航鹰专卖店
405,Apple/苹果iPhone XR苹果xr iphonexr xs max双卡4G苹果8手机分期,4217.0,1236,深圳量今古科技有限公司
1791,正品三防老年智能手机全网通4G超长待机大字大声老人机OUBOO Q98+,299.0,1233,添财数码广场
1625,vivo y67全网通手机指纹 vivoy67手机Y66手机美颜拍照VIVO Y67,536.0,1230,世纪红通讯7
125,当天发/6期免息/Huawei/华为 P30 官网官方旗舰店正品手机p30pro降价mate20pro/nova4/3i/4e/p20pro新款p30p,3988.0,1223,三际数码官方旗舰店
16,Apple/苹果 iPhone XS Max全网双卡手机iphonexs苹果xsmax苹果xr,4498.4,1222,zqf794617369
1284,OUBOO Q98正品路虎三防智能手机全网通军工老年人机超长待机大声,369.0,1218,添富数码广场
1684,OBXIN/欧博信 OX2全网通全面屏刘海水滴面部解锁一体机8G运行手机,189.0,1218,紫色角洛
760,Apple/苹果 iPhone XS Max 苹果xsmax iphone xs max 双卡4G手机,4250.0,1217,jeyven
130,优惠850当天发送好礼Huawei/华为 P30 Pro手机官方旗舰店/华为P30pro直降价正品P20新款华为mate20pro/nova4e,5488.0,1207,能良数码官方旗舰店
159,【6期免息】Huawei/华为 nova4e 手机官方旗舰店p30官网新品nova4/mate20pro/3i/p20/荣耀20正品手机降价了12,1799.0,1207,京合旗舰店
241,【优惠600元】Nokia/诺基亚 X6 4+64GB 智能全面屏手机长待机 4G全网通双卡双待 旗舰店官方正品,899.0,1204,诺基亚手机官方旗舰店
4335,军工三防老人机超长待机移动电信全网通老年人手机新路虎时代k968,65.12,1197,国为数码科技
528,小米有品多亲AI手机qin 1s+功能电话移动联通电信4G全网通按键智能可上微信超长待机小爱同学直板学生老年机,379.0,1195,飞可盈数码专营店
3431,【4G全网通】天语 T2S 老人机移动电信版直板按键女款正品联通老年手机大屏大字大声超长待机学生备用功能机,59.0,1195,恒之源手机专营店
591,【6+64G领券低至1269起】当天发+手环 Xiaomi/小米8青春版手机小米官方旗舰店9se红米note7官网正品8seK20pro,1079.0,1192,三际数码官方旗舰店
1870,OBXIN/欧博信OX2全网通4G智能全面屏6.5寸水滴面部解锁一体手机x,299.0,1191,华米企业店
2349,新款Nokia/诺基亚 新106老人机超长待机直板按键功能机官方旗舰店大字大声老年机学生儿童备用迷你经典小手机,159.0,1184,天讯蓝图数码专营店
2749,尼凯恩EN8 PLUS老人机超长待机直板女款大屏大字大声移动联通电信版老年手机正品三防儿童小学生迷你按键备用,59.0,1180,网能恒业数码专营店
124,优惠1150送1000礼12期分期Huawei/华为 nova 4 华为nova4e 官方旗舰店Mate20pro正品p30pro新款p20手机降价30,2499.0,1179,三际数码官方旗舰店
1364,索爱 Z58翻盖老人手机超长待机大字大声大屏老年手机正品双屏商务老年机男女儿童学生诺基亚迷你三防老人机,168.0,1171,创基成数码专营店
264,黑鲨2代【直降700】Xiaomi/小米 黑鲨游戏手机 2骁龙855黑鲨3代2,2849.0,1163,wezebaba
2552,小辣椒 V5金属迷你袖珍手机超长待机大字大声电信老年机男女款老人机直板按键儿童小手机学生备用机卡片手机,99.0,1162,友欣数码专营店
849,Philips飞利浦 E289老人机超长待机老年手机移动联通电信版备用机大屏大字大声功能机按键智能小手机全网通4G,379.0,1155,普华锦讯数码专营店
466,Samsung/三星 GALAXY S8 SM-G9500港版美版双卡曲屏S8+plus手机,1498.0,1153,小萝卜通讯
2815,顺丰现货发139起【送耳机壳膜】 Nokia/诺基亚 新105老人机移动联通功能机大字老年学生备用迷你小手机经典款,139.0,1152,三际数码官方旗舰店
316,Samsung/三星 Galaxy S10+ SM-G9750 三星S10港行港版 韩版手机,3558.0,1150,肥鹏展翅
1565,纽曼 C9三防手机正品军工全网通电信版老人机超长待机老年机移动老人手机女款学生大屏大字大声按键备用手机,168.0,1150,创于佳讯数码专营店
20,6期免息/送多重壕礼/华为 HUAWEI P30 Pro中移动手机正品官方旗舰店mate 20 Pro X p20 Pro 10plus限量直降,5488.0,1143,中国移动官方旗舰店
181,【6.1限时优惠400元 1599起】OPPO R15x 全网通屏幕指纹手机全面屏美颜旗舰正品4Goppor15x冰萃银 6+128GB,1699.0,1143,oppo官方旗舰店
38,新品【6期免息+直降300】Huawei/华为 nova 4手机华为官方旗舰店Mate20正品P20新款nova3i降价官网荣耀p30pro,2499.0,1140,蓝港数码专营店
178,当天发/6期免息/20重礼Huawei/华为 P30手机官方旗舰店正品 华为p30pro直降价/华为mate20pro/p20pro/nova4e,3988.0,1135,能良数码官方旗舰店
185,Apple/苹果 iPhone XR 国行港版苹果 iphonexr手机XR美版有锁XS,3399.0,1135,小唐1688
795,官方Xiaomi/小米 redmi note 7 pro手机红米Note7金刚6 K20正品a,1478.0,1130,heatlinda
2751,纽曼V7儿童手机小学生超小超薄迷你可爱非智能男女款直板正品老人机汽车跑车移动电信版戒网备用卡片网红手机,75.0,1130,炜广天成数码专营店
344,官网直降1580元Huawei/华为 Mate 20 Pro手机P30降价mate20x正品,2798.0,1127,深港通信专卖
362,【新款上市】OPPO A9 oppoa9手机全新机新款oppoa9手机限量超薄oppoa5手机 a7x r11oppor15x 0ppok1r9 0pp0a9,1399.0,1121,oppo平实专卖店
262,一加7Pro【官网价现货】onePlus7一加7手机旗舰新品1+7Pro GM1910,4199.0,1120,雨中的百合哈哈
1770,正品R17超薄6.3学生价游戏安卓智能移动联通电信全网通4G双卡手机,498.0,1118,海亿实业
24,【6期免息/现货当天发】华为honor/荣耀 荣耀V20手机新品官方旗舰店v10降价10麒麟980官网20pro新荣耀magic3,2699.0,1116,能良数码官方旗舰店
370,Lenovo/联想 K5 pro 6英寸全面屏前后四摄双卡双待全网通手机,848.0,1115,联想手机旗舰店
12,直降300元 送哈曼音箱 手环 官方vivo IQOO新品vivoiqoo爱酷手机iqoo限量版iq00艾酷vivox23 x27 x30骁龙855,2798.0,1112,京联通达数码旗舰店
327,华为HONOR/荣耀play4G全网通青春学生游戏手机荣耀官方旗舰店双摄新pIay星云紫 6+64GB,1699.0,1110,荣耀官方旗舰店
249,【6期免息】华为honor/荣耀 荣耀10青春版手机官方旗舰店8x正品V20/畅享9plus降价play官网手机20i/9s/nova4e,1299.0,1110,京合旗舰店
44,咨询领券可减370元/6期免息/送无线充】Xiaomi/小米 小米9手机Plus官方旗舰mix3骁龙855透明尊享版红米K20pro,2999.0,1109,广东电信亿品汇专卖店
695,可减274当天发12期Huawei/华为 畅享9 全网通官网官方旗舰店正品手机畅想9plus/nova4荣耀8xmate20免息p30pro,849.0,1107,三际数码官方旗舰店
2311,X23水滴屏学生超薄游戏5g网络新手机全网通4G智能手机8G运行128G,228.0,1107,诚信快乐淘开心
1226,【领50元优惠券+当天发】选手环Xiaomi/小米RedmiNote7手机红米Note7pro小金刚6官方旗舰店8青春max2红米K20,999.0,1100,三际数码官方旗舰店
1647,【3期免息套餐赠好礼】OPPO A9全面屏AI智能双摄美颜拍照长续航大内存正品学生全网通4G手机oppoa5 a7 a3,1399.0,1092,苏宁易购官方旗舰店
1711,官方 Xiaomi/小米 Redmi 7红米7pro小米7x新手机 全面屏note7正品,699.0,1085,一朵花的记忆
552,【限时减400】OPPO K1oppok1手机全新机正品新款oppok1手机限量oppor17oppor15手机oppofindxoppor11sa7xa5a9,1199.0,1083,oppo平实专卖店
18,vivo iQOO全新正品手机官网 vivoiqoo限量版 voviiqoo iq00骑士黑 x30 vivoiq 爱酷艾酷游戏手机骁龙855 bbk,2798.0,1081,首佳誉数码专营店
252,3期免息 128G直降200】Huawei/华为 畅享9 PLUS 官网官方旗舰店手机正品畅想9plus正品手机mate20pro正品手机,1399.0,1077,小淘器数码专营店
1594,【抢券立减】Xiaomi/小米 小米8 青春版全面屏智能拍照游戏手机学生机小米官方旗舰正品小米9 小米8,1099.0,1075,苏宁易购官方旗舰店
587,【6期免息】Huawei/华为Mate 20 Pro曲面屏徕卡三摄麒麟980芯片华为官方旗舰正品手机,4899.0,1074,苏宁易购官方旗舰店
2539,全网通老人机超长待机军工三防4G网络移动联通电信版大声老年手机,188.0,1072,紫向日葵
747,【12期免息赠多重礼】vivo X27 4800万广角夜景三摄大运存全网通官方旗舰正品智能4G手机vivox27 vivoX27 x23,3198.0,1071,苏宁易购官方旗舰店
4180,翻盖迷你儿童手机可爱卡通男女孩学生超小定位 Taiml/泰美利 K688,128.0,1063,泉兴时尚数码店
22,领券立减300元 vivo iQOO新品vivoiqoo手机限量版vivo官方旗艦店官网vivox27骁龙855艾酷爱酷游戏手机iq00,2798.0,1061,vivo天诚专卖店
1488,【抢券省250赠好礼】vivo Z5x 5000mAh大电池AI三摄骁龙710旗舰性能全面屏4G手机vivoz5x Z5X Z5 vivoz3 Z3,1398.0,1055,苏宁易购官方旗舰店
2072,Nokia/诺基亚 3.1Plus 全网通4G 大屏双摄 拍照手机 诺基亚手机 nokia3.1plus 诺基亚3.1plus 官方正品手机,679.0,1055,苏宁易购官方旗舰店
1636,YEPEN/誉品 YP99超长待机4G全网通网络 移动联通电信按键直板智能正品三防备用男女新功能户外老年机老人手机,238.0,1050,誉品旗舰店
2101,【支持微信视频】小辣椒 新105 全网通4g老年机超长待机老人手机大屏大字大声直板按键智能老人机联通电信版,188.0,1047,九方光电数码专营店
535,【6期免息】新品华为HONOR荣耀20全面屏超广角AI四摄麒麟980芯片智能手机正品官方旗舰手机,2699.0,1045,苏宁易购官方旗舰店
680,3期免息 送自拍大礼包】Meitu/美图 M8S手机正品m8s正品4G官方旗舰店T8s正品V7 m6s t9 t8 V6,889.0,1038,美图旅之丰专卖店
145,一加7pro OnePlus/一加 GM1910手机官方旗舰官网7t1+7pro 1加7pro,2999.0,1034,品牌机批发店
487,可减386/当天发/Huawei/华为 畅享9 PLUS官网官方旗舰店正品手机nova4e新款畅想9p荣耀8Xmate20/P30pro降价9s,1199.0,1030,三际数码官方旗舰店
964,【至高省400元】/OPPO A5 oppoa5手机新品 a5oppo手机 oppoa7x a1 oppor17 r15 a83 a7 oppor11s a3 oppor9s,799.0,1027,能良数码官方旗舰店
325,【61开门红·买赠华为耳机】Huawei/华为 畅享8 全面屏后置双摄官方正品智能千元学生手机,1199.0,1022,华为官方旗舰店
34,再领300元券 vivo iQOO游戏手机爱酷艾酷新款 vivoiqoo x21 x23 z3 vivox30 nex幻彩限量版官方旗舰店iq00,2798.0,1017,茂鹏数码专营店
328,【6+128G】Xiaomi/小米 Redmi Note 7 Pro 骁龙675新品4800万智能手机官方旗舰店正品红米note7pro,1599.0,1017,小米官方旗舰店
33,抢券减300元 全新vivo iQOO骁龙855官方旗舰店官网 vivoiqoo x23 vovi×30 vivoiq骑士黑 iq00手机限量版bbk,2798.0,1014,vivo航鹰专卖店
267,免息当天发realme X青春版realmex手机官方旗舰opporealmex青春版,1219.0,1010,wezebaba
2226,索爱 SA-Z9翻盖手机老人机移动电信版老人手机大字体大声天翼新款老年机超长待机大屏学生男女款老年手机正品,172.0,1002,索爱宝安专卖店
563,现货Xiaomi/小米 小米9SE小米9se全面屏尊享布朗熊限量版新手机,1799.0,1001,heatlinda
2625,vivl v17刘海屏全网通4G超薄学生价吃鸡游戏安卓智能一体手机正品,188.0,1001,易风卖场
